epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,13774.9,0.80275,0.48884,1.06324,0.89385,0.8975,0.94037,0.73851,0.75202,0.39981,1.07121,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,14099.6,0.79666,0.48567,1.05858,0.89958,0.89536,0.94045,0.73921,0.75188,0.40265,1.07563,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,14423.9,0.78767,0.47798,1.05206,0.90043,0.89431,0.94085,0.74091,0.75212,0.38701,1.07509,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,14749.9,0.79118,0.47835,1.05257,0.90106,0.89473,0.93998,0.74126,0.74638,0.39173,1.07318,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,15083.2,0.78521,0.47559,1.05026,0.90054,0.89444,0.94164,0.74299,0.74568,0.38605,1.07293,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,15410,0.782,0.46937,1.04846,0.89726,0.9036,0.9419,0.74425,0.74019,0.3786,1.0644,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,15746.9,0.78035,0.46936,1.04859,0.89876,0.90353,0.94321,0.7451,0.74187,0.37732,1.07182,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,16081.2,0.77386,0.46552,1.04458,0.90408,0.90096,0.94504,0.74577,0.74141,0.38126,1.06988,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,16417.9,0.7739,0.46326,1.04446,0.89949,0.90332,0.94297,0.74475,0.73051,0.38326,1.0558,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,16742.8,0.76499,0.45974,1.03597,0.90078,0.90375,0.94315,0.74525,0.73303,0.38125,1.05873,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,17067,0.76705,0.45566,1.03866,0.90731,0.89772,0.94287,0.74582,0.73226,0.37644,1.0645,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,17391.2,0.75575,0.45055,1.03355,0.90497,0.90114,0.9432,0.74792,0.73241,0.37695,1.06256,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,17721.3,0.75693,0.44912,1.03458,0.90196,0.89747,0.9427,0.74755,0.74972,0.38901,1.0903,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,18045.4,0.75487,0.45033,1.02986,0.90056,0.90369,0.94264,0.74824,0.72823,0.37832,1.06132,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,18367.2,0.74866,0.4417,1.02927,0.90516,0.90024,0.94414,0.75032,0.72539,0.38601,1.06259,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,18691.1,0.74886,0.4389,1.03089,0.91358,0.89369,0.94535,0.74794,0.73983,0.38805,1.08113,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,19014.7,0.74453,0.43897,1.02548,0.91416,0.89538,0.94444,0.7488,0.73334,0.37495,1.07659,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,19338.9,0.73885,0.43619,1.02564,0.91042,0.89941,0.94512,0.75139,0.73137,0.37749,1.07597,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,19663.1,0.73391,0.42932,1.02628,0.91387,0.89626,0.9454,0.75129,0.72795,0.37403,1.07565,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,19987.1,0.7333,0.42883,1.02389,0.9148,0.89644,0.9446,0.75129,0.72549,0.37186,1.07491,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,20311.6,0.7235,0.4217,1.01846,0.90975,0.89837,0.94513,0.75169,0.72508,0.37017,1.07478,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,20636.4,0.7243,0.4224,1.01705,0.90789,0.90534,0.94575,0.75273,0.72444,0.36669,1.07311,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,20960.8,0.71561,0.41936,1.01893,0.90802,0.90639,0.9461,0.75424,0.71663,0.36647,1.06298,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,21285.6,0.71378,0.41679,1.01395,0.90694,0.90638,0.94481,0.75331,0.7112,0.36033,1.0517,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
