epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,9728.84,0.85937,0.50679,0.96796,0.89351,0.8691,0.93348,0.70905,0.8748,0.46665,0.97849,0.000505,0.000505,0.000505
77,9834.04,0.86183,0.50838,0.9671,0.88827,0.8793,0.93534,0.71227,0.87385,0.46886,0.97937,0.0004984,0.0004984,0.0004984
78,9934.25,0.85947,0.50453,0.96627,0.89489,0.8676,0.93574,0.71475,0.87216,0.46915,0.97906,0.0004918,0.0004918,0.0004918
79,10031.4,0.86413,0.5101,0.97215,0.88778,0.87479,0.93435,0.71355,0.8749,0.46392,0.97944,0.0004852,0.0004852,0.0004852
80,10128.4,0.86132,0.50957,0.97029,0.88586,0.88265,0.93736,0.71611,0.86477,0.46464,0.97685,0.0004786,0.0004786,0.0004786
81,10225.4,0.85957,0.50416,0.96846,0.89472,0.86729,0.9383,0.71622,0.86325,0.46006,0.97517,0.000472,0.000472,0.000472
82,10322,0.85011,0.49931,0.96365,0.89663,0.87241,0.93856,0.71747,0.86224,0.45651,0.9752,0.0004654,0.0004654,0.0004654
83,10418.3,0.85243,0.49881,0.96306,0.89443,0.87036,0.93639,0.71667,0.86171,0.45814,0.97485,0.0004588,0.0004588,0.0004588
84,10515.6,0.8541,0.50363,0.96733,0.89675,0.8692,0.93872,0.71811,0.85915,0.45427,0.97384,0.0004522,0.0004522,0.0004522
85,10612.9,0.85225,0.4992,0.9634,0.88656,0.8724,0.9391,0.71822,0.85826,0.45313,0.9734,0.0004456,0.0004456,0.0004456
86,10709.8,0.8502,0.49382,0.96274,0.88423,0.87836,0.93955,0.71858,0.85856,0.4546,0.97479,0.000439,0.000439,0.000439
87,10807.9,0.85058,0.49555,0.96572,0.88766,0.88416,0.93867,0.72058,0.856,0.45303,0.97219,0.0004324,0.0004324,0.0004324
88,10905.4,0.84697,0.49533,0.96148,0.89645,0.87399,0.94008,0.72022,0.85601,0.45269,0.97279,0.0004258,0.0004258,0.0004258
89,11002.3,0.8374,0.48612,0.95841,0.89169,0.88576,0.94321,0.72672,0.85237,0.44664,0.97014,0.0004192,0.0004192,0.0004192
90,11098.9,0.83854,0.48881,0.95795,0.88684,0.88558,0.94194,0.72568,0.8507,0.44673,0.97019,0.0004126,0.0004126,0.0004126
91,11196.2,0.83508,0.48533,0.95866,0.88492,0.88446,0.94081,0.72285,0.84995,0.44738,0.96994,0.000406,0.000406,0.000406
92,11293.5,0.83621,0.48876,0.95797,0.8851,0.88932,0.94267,0.72383,0.84907,0.4469,0.97059,0.0003994,0.0003994,0.0003994
93,11390.6,0.82906,0.48593,0.95824,0.89885,0.87324,0.94227,0.72422,0.84955,0.44543,0.97144,0.0003928,0.0003928,0.0003928
94,11488.3,0.83602,0.48576,0.95711,0.89372,0.88078,0.94126,0.72323,0.84684,0.44475,0.97102,0.0003862,0.0003862,0.0003862
95,11585.2,0.83481,0.48612,0.95664,0.89248,0.88174,0.9424,0.72519,0.84564,0.44392,0.96767,0.0003796,0.0003796,0.0003796
96,11682.6,0.82933,0.47925,0.95615,0.89775,0.87604,0.94225,0.72636,0.84408,0.44287,0.96701,0.000373,0.000373,0.000373
97,11780,0.82631,0.47878,0.95437,0.895,0.88622,0.94353,0.72697,0.8425,0.4415,0.9663,0.0003664,0.0003664,0.0003664
98,11877.3,0.82423,0.4765,0.95405,0.88506,0.89105,0.94286,0.72555,0.84249,0.44214,0.96728,0.0003598,0.0003598,0.0003598
99,11974.6,0.82107,0.47548,0.95233,0.89636,0.88108,0.94276,0.72617,0.84286,0.44189,0.96659,0.0003532,0.0003532,0.0003532
100,12079.1,0.82134,0.47645,0.95163,0.90518,0.87609,0.9425,0.72616,0.841,0.44062,0.96578,0.0003466,0.0003466,0.0003466
101,12178.2,0.81587,0.47218,0.95151,0.90165,0.87984,0.94289,0.72633,0.83923,0.43885,0.9655,0.00034,0.00034,0.00034
102,12282.5,0.82386,0.47459,0.95277,0.89311,0.88796,0.94383,0.72713,0.8392,0.44016,0.96528,0.0003334,0.0003334,0.0003334
103,12386.3,0.81685,0.46961,0.94954,0.89482,0.88484,0.94467,0.72726,0.84023,0.43931,0.9647,0.0003268,0.0003268,0.0003268
104,12484.9,0.81709,0.47238,0.95106,0.88931,0.89215,0.9465,0.72982,0.83727,0.43642,0.96394,0.0003202,0.0003202,0.0003202
105,12583.4,0.80754,0.46616,0.94896,0.8917,0.8896,0.94632,0.73159,0.83588,0.43725,0.9635,0.0003136,0.0003136,0.0003136
106,12682.2,0.80648,0.46739,0.94839,0.88936,0.8914,0.9445,0.73022,0.83549,0.43694,0.96362,0.000307,0.000307,0.000307
107,12780.3,0.81063,0.46628,0.94827,0.88869,0.89287,0.94622,0.72988,0.83396,0.43509,0.96321,0.0003004,0.0003004,0.0003004
108,12880.2,0.81514,0.46592,0.95029,0.9005,0.88387,0.94625,0.73141,0.83251,0.43387,0.96243,0.0002938,0.0002938,0.0002938
109,12978.4,0.80147,0.45959,0.94658,0.90129,0.88015,0.94597,0.72918,0.83082,0.43288,0.96143,0.0002872,0.0002872,0.0002872
110,13077,0.80351,0.45913,0.9463,0.90105,0.88133,0.94629,0.72969,0.82943,0.43236,0.96099,0.0002806,0.0002806,0.0002806
111,13174.6,0.80474,0.45969,0.94437,0.89669,0.89197,0.94676,0.73036,0.82985,0.43126,0.96082,0.000274,0.000274,0.000274
112,13273.8,0.80194,0.46037,0.94431,0.89222,0.89119,0.94635,0.73155,0.82863,0.42937,0.96088,0.0002674,0.0002674,0.0002674
113,13372.5,0.79932,0.45942,0.94611,0.89206,0.89078,0.9467,0.73135,0.82856,0.43018,0.9611,0.0002608,0.0002608,0.0002608
114,13471.6,0.79758,0.45571,0.94339,0.87874,0.90423,0.94612,0.73253,0.82884,0.43128,0.96131,0.0002542,0.0002542,0.0002542
115,13570.5,0.79491,0.4569,0.94598,0.88946,0.89468,0.9472,0.73273,0.82729,0.42987,0.96075,0.0002476,0.0002476,0.0002476
